AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
"Ministerie van Defensie, Dienst Vastgoed Defensie",31833604,Dr.Stolteweg 40,Zwolle,8025 AX,Nederland,http://www.defensie.nl/cdc
"Gemeente Eindhoven, Sector Realisatie & Beheer",261529808,Postbus 90150,Eindhoven,5600 RB,Nederland,http://www.eindhoven.nl
Gemeente Gemert-Bakel,271675751,Ridderplein 1,Gemert,5421 CV,Nederland,http://www.gemert-bakel.nl
Gemeente Vlaardingen,6116978,Hoflaan 43,Vlaardingen,3134 AC,Nederland,http://www.vlaardingen.nl
"Rijksgebouwendienst, Directie Beheer, Afdeling Inkoop",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Rijkswaterstaat IJsselmeergebied,532068472,Zuiderwagenplein 2,Lelystad,8224 AD,Nederland,
"Dienst Landelijk Gebied, Projectbureau Saneringsregeling asbestwegen derde fase, t.a.v.: Dhr. ing. A.J.M. Wieskamp.",532146326,LÃƒÂ¼beckplein 34,ZWOLLE,8017 JS,Nederland,http://www.saneringasbestwegen.nl
"Provincie Gelderland voor deze Dienst Landelijk Gebied, regio Oost",532146326,Rosendaalsestraat 64,Arnhem,6824 CM,Nederland,http://www.dienstlandelijkgebied.nl
Ministerie van Sociale Zaken en Werkgelegenheid,19637402,Anna van Hannoverstraat 4,Den Haag,2595 BJ,Nederland,
"Provincie Zeeland, voor deze de Dienst Landelijk Gebied regio Zuid",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
"De provincie Zeeland, voor deze Dienst Landelijk Gebied regio Zuid",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
Centraal Justitieel Incassobureau,502068230,Tesselschadestraat 140,Leeuwarden,8913 HC,Nederland,http://www.cjib.nl
Gemeente Leudal,81658932,Leudalplein 1,Heythuysen,6093HE,Nederland,http://www.leudal.nl
Bureau Inkoop en Aanbestedingen Zuidoost-Brabant,221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
"De provincie Zuid-Holland, voor dezen de Dienst Landelijk Gebied, Regio West",532146326,Wilhelmina van Pruisenweg 52,Den Haag,2595AN,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Defensie, Divisie Vastgoed & Beveiliging",31833604,Spoorlaan 175,Tilburg,5038 CB,Nederland,http://www.defensie.nl/cdc
Stichting Fluvius,242668468,Koningsstraat 27,Arnhem,6811 DG,Nederland,http://www.fluvius.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",12024663,Bezuidenhoutseweg 20,Den Haag,2594AV,Nederland,http://www.agentschapnl.nl
"Stichting Het Zeeuwse Landschap, voor deze Dienst Landelijk Gebied regio Zuid",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Hellevoetsluis,34451054,Oostzanddijk 26,Hellevoetsluis,3221 AL,Nederland,http://www.hellevoetsluis.nl
Stichting Scholengroep Spinoza,4659059,Burgemeester Weertsstraat 69,Arnhem,6814 HM,Nederland,http://www.scholengroepspinoza.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Dienst Regelingen",25473568,Postbus 20401,Den Haag,2500 EK,Nederland,
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties / Doc-Direkt,41335830,Postbus 20011,Den Haag,2500 EA,Nederland,
Dienst Landelijk Gebied regio Zuid,532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Laarbeek,22151783,Koppelstraat 37,Beek en Donk,5741 GA,Nederland,
Veiligheidsregio Zuid-Holland Zuid,42371165,Noordendijk 250,Dordrecht,3311 RR,Nederland,http://www.vrzhz.nl
Agentschap Basisadministratie Persoonsgegens en Reisdocumenten,41335830,Lange Vijverberg 11,Den Haag,2513 AC,Nederland,http://www.bprbzk.nl
"De provincie Noord-Brabant, voor deze Dienst Landelijk Gebied regio Zuid",532146326,Godsweerdersingel 10,Roermond,6041 GL,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Defensie, Dienst Vastgoed & Beveiliging, Directie Zuid",31833604,Spoorlaan 175,Tilburg,5038 CB,Nederland,http://www.defensie.nl/cdc
"Rijksgebouwendienst, Directie Projecten",552550970,(bezoekadres) Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Gemeente Rotterdam en Stichting Holding Jessica Den Haag (i.o.),22071782,p/a Galvanistraat 15,ROTTERDAM,3029 AD,Nederland,http://www.rotterdam.nl/inkoopenaanbesteding
Rijkswaterstaat Noord-Holland,5458837,Toekanweg 7,Haarlem,2035LC,Nederland,http://www.rijkswaterstaat.nl
Rijksgebouwendienst,552550970,(bezoekadres) Rijnstraat 8,Den Haag,2500 EZ,Nederland,http://www.rijksgebouwendienst.nl
Dienst Wegverkeer,4443194,Postbus 314,Veendam,9640 AH,Nederland,http://www.rdw.nl
"Haagse Inkoop Samenwerking (HIS) namens het Ministerie van Volksgezondheid, Welzijn en Sport",41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,
Ministerie van EL&I Dienst ICT Uitvoering,151733690,Juliana van Stolberglaan 148,Den Haag,2595 CL,Nederland,http://www.mineli.nl
Dienst Landelijk Gebied,532146326,LÃƒÂ¼beckplein 34,Zwolle,8017JS,Nederland,http://www.flevo-landschap.nl
Ministerie van Defensie - Defensie Pijpleiding Organisatie,10371184,van der Burchlaan 31,Den Haag,2597 PC,Nederland,http://www.defensie.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Postbus 20401,Den Haag,2500 EK,Nederland,http://www.rijksoverheid.nl/eleni
Rijksgebouwendienst,552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
"Ministerie van Defensie, Commando Luchtstrijdkrachten, Logistiek Centrum Woensdrecht",40683985,Kooiweg 40,Hoogerheide,4631SZ,Nederland,http://www.mindef.nl
Gemeente Stadskanaal,935671,Raadhuisplein 1,Stadskanaal,9501 SZ,Nederland,http://www.dejongemilieuadvies.nl
ROC ID College,571977528,Groen van Prinsterersingel 52,Gouda,2805 TE,Nederland,http://www.idcollege.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Agentschap Telecom p/a Het NIC B.V.",371979323,Dokter Stolteweg 60,Zwolle,8025 AZ,Nederland,http://www.agentschaptelecom.nl
Provincie Gelderland namens deze Dienst Landelijk Gebied,532146326,Rosendaalsestraat 64,Arnhem,6824 CM,Nederland,http://www.dienstlandelijkgebied.nl
Onderzoeksraad voor Veiligheid,8636600,Anna van Saksenlaan 50,Den Haag,2593 HT,Nederland,http://www.onderzoeksraad.nl
Gemeente Gennep,44344554,Ellen Hoffmannplein 1,Gennep,6591 CP,Nederland,http://www.gennep.nl
Gemeente 's-Hertogenbosch,491878990,Wolvenhoek 1,s-Hertogenbosch,5200 GZ,Nederland,http://www.s-hertogenbosch.nl
"Rijksgebouwendienst, Directie Beheer, Cluster Inkoop & Contractmanagement",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rijksgebouwendienst.nl
Veiligheidsregio Limburg-Noord,561959518,Nijmeegseweg 42,Venlo,5916 PT,Nederland,http://www.vrln.nl
Dienst Publiek en Communicatie,53688887,Buitenhof 34,DEN HAAG,2513 AH,Nederland,http://www.rijksoverheid.nl
Gemeente Veldhoven,482173060,Meiveld 1,Veldhoven,5500 GA,Nederland,
"gemeente Nuenen c.a., gemeente Geldrop-Mierlo en Veiligheidsregio Brabant-Zuidoost",221959283,Deken van Somerenstraat 2,Eindhoven,5611 KX,Nederland,http://www.vrbzo.nl
"Dienst Landelijk Gebied, Regio Noord, namens de provincie Groningen",532146326,Trompsingel 1,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Agentschap NL (NL Agency)",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.agentschapnl.nl
"De provincie Utrecht, voor deze de Dienst Landelijk Gebied, regio West",532146326,Sint Jacobsstraat 200,Utrecht,3511BT,Nederland,http://www.dienstlandelijkgebied.nl
Provincie Noord-Holland,24460435,Ceylonpoort 5,Haarlem,2001 DA,Nederland,http://www.noord-holland.nl
Gemeente Tilburg,32696202,Stadhuisplein 130,Tilburg,5038 TC,Nederland,http://www.tilburg.nl
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,Schedeldoekshaven 200,Den Haag,2511 EZ,Nederland,http://www.rijksoverheid.nl
Gemeente Eemsmond,422068250,Hoofdstraat-west 1,Uithuizen,9981 AA,Nederland,http://www.eemsmond.nl
"De provincie Overijssel, voor deze de Dienst Landelijk Gebied regio Oost",532146326,Postbus 10051,Zwolle,8000 GB,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Defensie, Divisie Vastgoed & Beveiliging, Directie Zuid",31833604,Spoorlaan 175,Tilburg,5038 CB,Nederland,http://www.defensie.nl/cdc
Rijkswaterstaat Limburg,12375365,Avenue Ceramique 125,Maastricht,6221 KV,Nederland,http://www.rijkswaterstaat.nl
"Ministerie van Infrastructuur en Milieu, Rijkswaterstaat dienst Oost-Nederland",11644412,Eusebiusbuitensingel 66,Arnhem,6828HZ,Nederland,http://www.rijkswaterstaat.nl
Vlaams-Nederlandse Schelde Commissie (VNSC),13347689,Jacob Obrechtlaan 3,Bergen op Zoom,4611 AP,Nederland,http://www.vnsc.eu
Defensie Materieel Organisatie,291855282,Van der Burchlaan 31,Den Haag,2597PC,Nederland,http://www.defensie.nl
Dienst Landelijk Gebied,532146326,Trompsingel 1,Groningen,9724 CX,Nederland,http://www.dienstlandelijkgebied.nl
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Herculeslaan 1,Utrecht,3584AB,Nederland,
Brandweer Amsterdam-Amstelland,291856362,Karspeldreef 16,Amsterdam,1101 CK,Nederland,http://www.brandweer.nl/amsterdam-amstelland
Gemeente Zwolle,401747134,Grote Kerkplein 15,Zwolle,8011 PK,Nederland,http://www.zwolle.nl
Enexis BV,1582320,Burgemeester Burgerslaan 40,Rosmalen,5245 NH,Nederland,http://www.enexis.nl
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.mindef.nl
Provincie Noord-Holland,24460435,Ceylonpoort 5,Haarlem,2037 AA,Nederland,http://www.noord-holland.nl
Ministerie van EL&I Dienst ICT Uitvoering,151733690,Juliana van Stolberglaan 148,Den Haag,2595 CL,Nederland,http://www.rijksoverheid.nl/ministeries/ez
Immigratie- en Naturalisatiedienst,9672141,dr H. Colijnlaan 341,Rijswijk,2283XL,Nederland,http://www.ind.nl
Gemeenschappelijke Regeling Publieke Gezondheid & Jeugd Zuid-Holland Zuid,302162060,Noordendijk 250,Dordrecht,3311RR,Nederland,http://www.regiozhz.nl
Gemeente Castricum,381945628,Raadhuisplein 1,Castricum,1902 CA,Nederland,http://www.castricum.nl
Haagse Inkoop Samenwerking (HIS) namens SSC ICT van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
"Ministerie van OCW, vertegenwoordigd door Dienst Uitvoering Onderwijs",211658528,Kempkensberg 12,Groningen,9722 TB,Nederland,http://www.duo.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Dienst Regelingen",25473568,Postbus 19530,Den Haag,2500 CM,Nederland,
"De provincie Gelderland, voor deze Dienst Landelijk Gebied",532146326,Rosendaalsestraat 64,Arnhem,6824CM,Nederland,http://www.dienstlandelijkgebied.nl
RDW,4443194,Europaweg 205,Zoetermeer,2711 ER,Nederland,http://www.rdw.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Prinsens Beatrixlaan 2,Den Haag,2500 EK,Nederland,http://www.rijksoverheid.nl/eleni
Veiligheidsregio Haaglanden,6009372,Dedemsvaartweg 1,Den Haag,2505 CD,Nederland,http://www.vrh.nl
Raad voor de Kinderbescherming,11532747,Fentener van Vlissingenkade 1,Utrecht,3521 AA,Nederland,http://www.kinderbescherming.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie, Dienst Regelingen",25473568,Postbus 322,Assen,9400 AH,Nederland,
Hoogheemraadschap van Rijnland,14696697,Archimedesweg 1,Leiden,2333CM,Nederland,http://www.rijnland.net
Rijkswaterstaat Data-ICT-Dienst,5407590,Derde Werelddreef 1,Delft,2622 HA,Nederland,http://www.rijkswaterstaat.nl/CHARM
Gemeente Schiedam,37649839,Stadserf 1,Schiedam,3112 DZ,Nederland,http://www.schiedam.nl
Actief Bodembeheer de Kempen,152192625,Keizersgracht 5,Eindhoven,5611 GB,Nederland,http://www.abdk.nl
"Rijksgebouwendienst, Directie Beheer, Cluster Inkoop",552550970,Rijnstraat 8,Den Haag,2515 XP,Nederland,http://www.rgd.nl
Gemeente Horst aan de Maas,391563854,Wilhelminaplein 6,Horst,5961 ES,Nederland,http://www.horstaandemaas.nl
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Dolderseweg 34,Huis ter Heide,3712BR,Nederland,
"Dienst Landelijk Gebied, regio Zuid",532146326,Godsweerdersingel 10,Roermond,6041 GL,Nederland,http://www.dienstlandelijkgebied.nl
"Haagse Inkoop Samenwerking namens het ministerie van Volksgezondheid, Welzijn en Sport",41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Naturalis Biodiversity Center,41647282,Darwinweg 2,Leiden,2333 CR,Nederland,http://www.naturalis.nl
Rijkswaterstaat Programmadirectie Ruimte voor de Rivier,55477829,Eusebiusbuitensingel 66,Arnhem,6826 HZ,Nederland,http://www.ruimtevoorderivier.nl
BIZOB namens 13 gemeenten,221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
Gemeente Veghel,492182384,Stadhuisplein 1,Veghel,5461 KN,Nederland,http://www.veghel.nl
"BIZOB namens de gemeenten Bergeijk, Bladel, Eersel, Oirschot en Reusel-De Mierden",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
BIZOB namens de gemeenten Veldhoven en Waalre,221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
"BIZOB namens de gemeenten Asten, Deurne, Gemert-Bakel, Laarbeek en Someren",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
"BIZOB namens de gemeenten Cranendonck, Geldrop-Mierlo, Heeze-Leende en Nuenen",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
"BIZOB namens de gemeenten Best, Veldhoven en Waalre",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
Gemeente Gorinchem,3833548,Stadhuisplein 1,Gorinchem,4205 AZ,Nederland,http://www.gorinchem.nl
"Provincie Zeeland, voor deze de Dienst Landelijk Gebied, regio Zuid",532146326,Piet Heinstraat 77,Goes,4461 GL,Nederland,http://www.dienstlandelijkgebied.nl
Dienst Landelijk Gebied,532146326,LÃƒÂ¼beckplein 34,Zwolle,8017 JS,Nederland,http://www.saneringasbestwegen.nl
gemeente Pijnacker-Nootdorp,512074379,Oranjeplein 1,Pijnacker,2640 AA,Nederland,http://www.pijnacker-nootdorp.nl
Haagse Inkoop Samenwerking namens het Sociaal en Cultureel Planbureau,41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Stichting Regionaal Inkoopbureau IJmond & Kennemerland,262273306,Haarlemmerstraatweg 51,Halfweg,1165 MJ,Nederland,http://www.stichtingrijk.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Prinses Clauslaan 8,Den Haag,2500 EK,Nederland,http://www.rijksoverheid.nl/eleni
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Spoorlaan 175,Tilburg,5038CB,Nederland,http://www.defensie.nl/cdc
"Embassey of the Kingdom of the Netherlands in Bangladesh, Dhaka",5910447,Road 90,Dhaka,0099AA,Bangladesh,http://www.netherlandsembassydhaka.org
Gemeente Heemstede,262273306,Raadhuisplein 1,Heemstede,2101 HA,Nederland,http://www.heemstede.nl
Belastingdienst/Centrum voor Facilitaire Dienstverlening,12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Belastingdienst/CFD,12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Gemeente Houten,35416829,Postbus 30,Houten,3990 DA,Nederland,http://www.houten.nl
Landelijke Faciliteit Rampenbestrijding,7671490,Zilverstraat 91,Zoetermeer,2718 RP,Nederland,http://www.ifv.nl
Universiteit van Amsterdam,54385591,James Wattstraat 77,Amsterdam,1097 DL,Nederland,http://www.uva.nl
Gemeente Breda,53425143,Claudius Prinsenlaan 10,Breda,4811DJ,Nederland,http://www.breda.nl
"Provincie Overijssel, voor deze de Dienst Landelijk Gebied, regio oost",532146326,LÃƒÂ¼beckplein 34,Zwolle,8017JS,Nederland,http://www.dienstlandelijkgebied.nl
BIZOB names 16 aanbestedende diensten,221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
Gemeente Heemskerk,451681344,Maerten van Heemskerckplein 1,Heemskerk,1964 EZ,Nederland,http://www.heemskerk.nl
"BIZOB namens Kempen gemeenten (Bergeijk, Bladel, Eersel, Oirschot, Reusel-De Mierden)",221959283,Dijk 15,Eersel,5521 AW,Nederland,http://www.bizob.nl
Rijksgebouwendienst,552550970,Bezoekadres: Rijnstraat 8,2500 EZ Den Haag,"2515 XP Den Haag. Postadres: Postbus 20952, IPC410",Nederland,http://www.rijksgebouwendienst.nl
Gemeente Heemstede,262273306,Raadhuisplein 1,Heemstede,2101HA,Nederland,http://www.heemstede.nl
Nederlandse Voedsel- en Warenautoriteit,171631515,Catharijnesingel 59,Utrecht,3511 GG,Nederland,http://www.vwa.nl
"Waterschap Veluwe, in deze begeleid door Pro 10 B.V., Partners in Procurement & Tendering",6513549,Carolina van Nassaustraat 27,Den Haag,2595TK,Nederland,http://www.pro10.nl
"Ministerie van Onderwijs, Cultuur en Wetenschap",8672720,Rijnstraat 50,Den Haag,2500 BJ,Nederland,http://www.rijksoverheid.nl
Gemeente Haarlem,50647371,Zijlvest 39,Haarlem,2011 VB,Nederland,http://www.haarlem.nl
Rijkswaterstaat Dienst Utrecht/Dienst Infrastructuur,361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
Dienst Uitvoering Onderwijs,211658528,Kempkensberg 12,Groningen,9722 LG,Nederland,http://www.duo.nl
Waterschap Vallei & Eem,6513549,Steenbokstraat 10,Apeldoorn,7324AX,Nederland,http://www.wve.nl
Rijkswaterstaat Dienst Utrecht/Dienst Infrastructuur Aanbestedingsteam DI,361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Dr. Stolteweg 40,Zwolle,8004 DD,Nederland,http://www.defensie.nl/cdc/
AOC Terra,23372906,Hereweg 101,Groningen,9721AA,Nederland,http://www.aocterra.nl
Olympia College,101692221,Olympiaweg 395,Rotterdam,3078 HT,Nederland,http://www.olympiacollege.nl
Veiligheidsregio Rotterdam-Rijnmond,161886824,Wilhelminakade 947,Rotterdam,3072 AP,Nederland,
"Gemeente Utrecht, Stadswerken",71663234,Vliegend Hertlaan 1,UTRECHT,3526 KT,Nederland,http://www.utrecht.nl/concerninkoop
"Haagse Inkoop Samenwerking (HIS) namens het Ministerie van Volksgezondheid, Welzijn en Sport",41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Netherlands Representative Office Ramallah,5910447,Hollanda street 12,Ramallah,.,Palestijnse Autoriteit,http://www.minbuza.nl
"Ministerie van Economische Zaken, Landbouw en Innovatie",502035258,Bezuidenhoutseweg 73,Den Haag,2594 AC,Nederland,http://www.rijksoverheid.nl/eleni
Belastingdienst,12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Gemeente Venray,60262744,Raadhuisstraat 1,Venray,5801 MB,Nederland,http://www.venray.nl
Gemeente Hoorn,341772977,Nieuwe Steen 1,Hoorn,1620 AR,Nederland,http://www.hoorn.nl
Gemeente Delft,161660658,Martinus Nijhofflaan 2,Delft,2624ES,Nederland,http://www.delft.nl
Hogeschool Inholland,22669292,Theresiastraat 8,Den Haag,2593 AN,Nederland,http://www.inholland.nl
Dienst Landelijk Gebied,532146326,LÃƒÂ¼beckplein 34,Zwolle,8017 JS,Nederland,http://www.dienstlandelijkgebied.nl
Haagse Inkoop Samenwerking (HIS) namens Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,Wilhelmina van Pruisenweg 52,Den Haag,2595AN,Nederland,http://www.rijksoverheid.nl
Stichting Regionaal Onderwijs Centrum 's-Hertogenbosch,21372421,Vlijmenseweg 2,S-HERTOGENBOSCH,5223GW,Nederland,http://www.kw1c.nl
Gemeente Best,301647183,Raadhuisplein 1,Best,5683 AE,Nederland,
Provincie Noord-Brabant,422043498,Brabantlaan 1,s-Hertogenbosch,5216TV,Nederland,
St. Protestants-Christelijk Basis- en Orthopedagogisch Onderwijs,2560876,Elzendaal 15,Rotterdam,3075 JA,Nederland,http://www.pcbo.nl
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging",31833604,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.defensie.nl/cdc/divisie_vastgoed_en_beveiliging
"Haagse Inkoopsamenwerking (HIS), Ministerie van Volksgezondheid, Welzijn en Sport",41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Gemeente Emmen,31443820,Raadhuisplein 1,EMMEN,7811 AP,Nederland,http://www.emmen.nl
Gemeente Mook en Middelaar,44344554,Raadhuisplein 6,Mook,6585 AP,Nederland,http://www.mookenmiddelaar.nl
Schadeschap luchthaven Schiphol,36661387,Wilhelminastraat 43,Haarlem,2011 vk,Nederland,http://www.schadeschap.nl
Pro Mereor,241981513,Burgemeester Weertsstraat 69,Arnhem,6814 HM,Nederland,http://www.conexus.nu/
"Provincie Overijssel, voor deze de Dienst Landelijk Gebied, regio oost",532146326,Lubeckplein 34,Zwolle,8017JS,Nederland,http://www.dienstlandelijkgebied.nl
"Haagse Inkoop Samenwerking (HIS) namens Ministerie van Volksgezondheid, Welzijn en Sport",41625119,Wilhelmina van Pruisenweg 52,Den Haag,2595 AN,Nederland,http://www.rijksoverheid.nl
Waterschap Regge en Dinkel,401664319,Kooikersweg 1,Almelo,7609 PZ,Nederland,http://www.wrd.nl
Gemeente Helmond,50664505,Weg op den Heuvel 35,Helmond,5701NV,Nederland,http://www.helmond.nl
