"cbsId","cbsIdCount","cbsName","cbsComment","cbsShort","cbsShortCount","cbsLong","cbsLongCount"
"GM0770","11","Eersel","","0770","7","Eersel 770","1"
"GM1903","6","Eijsden-Margraten","Ontstaan per 01-01-2011","","","",""
"GM0772","13","Eindhoven","","0772","7","Eindho 772","1"
"GM0230","11","Elburg","","0230","7","Elburg 230","1"
"GM0114","13","Emmen","","0114","7","Emmen 114","1"
"GM0388","11","Enkhuizen","","0388","7","Enkhui 388","1"
"GM0513","13","Enschede","","0153","7","Ensche 153","1"
"GM0232","11","Epe","","0232","7","Epe 232","1"
"GM0233","11","Ermelo","","0233","7","Ermelo 233","1"
"GM0777","11","Etten-Leur","","0777","7","Etten- 777","1"
"GM1722","11","Ferwerderadiel","","1722","4","Ferwer 1722","1"
"GM0070","11","Franekeradeel","","0070","7","Franek 70","1"
"GM0653","8","Gaasterlân-Sleat","","0653","7","Gaaste 653","1"
"GM0779","11","Geertruidenberg","","0779","7","Geertr 779","1"
"GM0236","11","Geldermalsen","","0236","7","Gelder 236","1"
"GM1771","11","Geldrop-Mierlo","Nieuw gevormd per 01-01-2004 uit: Geldrop, Mierlo.","","","",""
"GM1652","11","Gemert-Bakel","","1652","6","Gemert 1652","1"
"GM0907","11","Gennep","","0907","7","Gennep 907","1"
"GM0689","11","Giessenlanden","","0689","7","",""
"GM0784","11","Gilze en Rijen","","0784","7","Gilze  784","1"
"GM0511","7","Goedereede","","0511","7","Goeder 511","1"
"GM0664","11","Goes","","0664","7","Goes 664","1"
"GM0785","11","Goirle","","0785","7","Goirle 785","1"
"GM0512","11","Gorinchem","","0512","7","Gorinc 512","1"
"GM0513","11","Gouda","","0513","7","Gouda 513","1"
"GM0693","7","Graafstroom","","0693","7","",""
"GM0365","9","Graft-De Rijp","","0365","7","",""
"GM0786","11","Grave","","0786","7","Grave 786","1"
